,vc,bridge,knn,vip_col1,vip_col2,vip_col3,vip_col4,vip_col5,vip_col6,vip_col7,vip_col8,vip_col9,vip_col10,vip_col11,vip_col12,vip_col13,vip_col14,vip_col15,vip_col16,vip_col17,vip_col18,vip_col19,vip_col20,vip_col21,vip_col22,vip_col23,vip_col24,vip_col25,vip_col26,vip_col27,vip_col28,vip_col29,vip_col30,vip_col31,vip_col32,vip_col33,vip_col34,vip_col35,vip_col36,vip_col37,vip_col38,vip_col39,vip_col40,vip_col41,vip_col42,vip_col43,vip_col44,vip_col45,vip_col46,vip_col47,vip_col48,vip_col49,vip_col50
eta,0.0,0.0,0.0,0.0,2.0408163265306123,4.081632653061225,6.122448979591837,8.16326530612245,10.204081632653061,12.244897959183675,14.285714285714286,16.3265306122449,18.367346938775512,20.408163265306122,22.448979591836736,24.48979591836735,26.53061224489796,28.571428571428573,30.612244897959183,32.6530612244898,34.69387755102041,36.734693877551024,38.775510204081634,40.816326530612244,42.85714285714286,44.89795918367347,46.93877551020408,48.9795918367347,51.02040816326531,53.06122448979592,55.10204081632653,57.142857142857146,59.183673469387756,61.224489795918366,63.26530612244898,65.3061224489796,67.34693877551021,69.38775510204081,71.42857142857143,73.46938775510205,75.51020408163265,77.55102040816327,79.59183673469389,81.63265306122449,83.6734693877551,85.71428571428572,87.75510204081633,89.79591836734694,91.83673469387756,93.87755102040816,95.91836734693878,97.9591836734694,100.0
SIM0,1.9200000000000004,0.7284247683476636,1.3735650937488233,0.7391593656451328,0.8897819471208676,1.0749510472068153,1.224258234425717,1.3454291061672927,1.4260524644648442,1.4657441521838943,1.5325952556726647,1.5546473957091733,1.575740222760239,1.6006396723034926,1.6215814350484956,1.6413545129612483,1.6584545423695558,1.6800111598344873,1.6889234464391532,1.6965739774974753,1.7127180687040453,1.7279160371135227,1.735208023780007,1.7428073644725641,1.7550230963126574,1.7552489700003782,1.757504348314159,1.7658762616898513,1.7710766602856605,1.7718738893082484,1.7747300612228554,1.7757069151366425,1.7806222127000355,1.7822013705221476,1.7870849252696435,1.7896007802617573,1.7922548395896356,1.792750610861718,1.7936550385143533,1.7942292548564056,1.795242408487141,1.797809594483509,1.7984292511426587,1.800089619576886,1.8032312558277956,1.8033078385715264,1.8038645599764942,1.813274226469482,1.814773815572626,1.8154092299168751,1.8159503445642842,1.816223412125003,1.8230757710615624
SIM1,1.9200000000000004,0.731122022481537,1.4550936764970148,0.7543636645193508,0.9224029678983117,1.1498760810626412,1.312087577975741,1.4447055801312751,1.5215432494697787,1.5866812840429718,1.618550714281203,1.664174999125851,1.6968201771403137,1.7207963205886794,1.7432253376659819,1.7594715779208094,1.8040072005964187,1.81403962508783,1.8185931029998919,1.8261109582800532,1.8337489799232338,1.841737527806476,1.8448702274057804,1.8514750489615939,1.8529816992404293,1.8570846366902982,1.867829474664946,1.8722705437777496,1.8848626533176227,1.886553805879265,1.8886417983396413,1.891955390464803,1.8928078617388586,1.896449520398227,1.909910953586954,1.9106575405048325,1.9126243771648155,1.9185912669472336,1.9276473201924176,1.9281403484098705,1.9302696161207746,1.9339795516884613,1.934839506157942,1.936203640420671,1.9369638541648224,1.941317839090158,1.941929484475402,1.9462072655327824,1.9470817249499202,1.9470941398425174,1.9471333769567678,1.947830263851458,1.9484242829391147
SIM2,1.9200000000000004,0.7728138307539333,1.5142585085320104,0.7902911718722797,0.9393062241557997,1.1585359988456387,1.3323960278130231,1.4401393699376606,1.5206184444021869,1.5972634065679072,1.644588425040113,1.679800038709434,1.7063511832622318,1.7355961864106861,1.7746676564623192,1.7927529644762146,1.8030856909965869,1.8227971986184373,1.8394942476375211,1.8445036313859753,1.8515175570147262,1.8716052881793726,1.8844518433989712,1.8900747746340754,1.894479185979406,1.900791265250891,1.9053767333054772,1.9127931116289505,1.917395201054087,1.939686179349101,1.939984108023099,1.940844252619842,1.9495268879586523,1.9578044374899164,1.9620650282017287,1.9648694705958347,1.9651627813004253,1.9678549529029372,1.968167764049153,1.9695819622608444,1.972403896853382,1.9782326142842928,1.9838384716189024,1.984757381602465,1.988714580198988,1.9907124493873287,1.9916021094151524,1.99392036100034,1.9979862404674633,1.9983908122582907,1.99858293974961,2.002284894397999,2.003804088794401
SIM3,1.9200000000000004,0.753984333282742,1.4678745153594734,0.7816896679056048,0.9446630372392169,1.1525809833289813,1.3389101584437935,1.4630272851619734,1.5407412980167075,1.590284194296067,1.6612213238023252,1.7074993396468308,1.7179370249287225,1.7353942462300105,1.765440224268803,1.779397310437017,1.7898494740638609,1.8112569609885751,1.8143997937642804,1.8229715526806405,1.8263034342824556,1.8315210129710227,1.8459523336737558,1.8588940291569869,1.8607978223016857,1.8737174617002195,1.8797550406597314,1.8918950800167855,1.8928498653435402,1.8989123498774447,1.899321408372259,1.9007063362526155,1.9029794026047544,1.9046637111646143,1.9055222820052096,1.9147058304200115,1.9165290705096183,1.918540009027995,1.9215084578137025,1.9234801808522002,1.924800731426831,1.9261200195013248,1.9275818379270044,1.9275896978598557,1.9297902564877576,1.9324639055633794,1.934102314054994,1.93618928582045,1.9385009365963088,1.939476565977275,1.9404121931806484,1.9408972920434768,1.9497324686014734
SIM4,1.9200000000000004,0.9425598853545283,2.032284414111725,0.9622279179714244,1.1302658893238733,1.3797206294228883,1.60695682651177,1.7526136518798645,1.8639948988765833,1.959777474593118,2.016601473246913,2.059812114637211,2.101015055022321,2.121749417292783,2.163433273766207,2.186470594983735,2.2054493340674886,2.2265289691714534,2.248786815581768,2.2587253469104955,2.2645997234063526,2.2738289792542603,2.287540464698744,2.2917114328416464,2.3010648182244378,2.3027482412967357,2.3083543369977764,2.3136572502018438,2.3270527434112953,2.3306297876297606,2.3341611661772657,2.3348769137525065,2.3383783666468614,2.345009346194314,2.349767521941383,2.3598658728607718,2.362990730161249,2.3634220856414343,2.3660248737114724,2.3685161965347143,2.36867557626518,2.3785001464425592,2.3787000951756334,2.385300115969531,2.386330912810706,2.387541882135181,2.3877050344909962,2.388356612794403,2.390533002521691,2.3919019323324977,2.395152958284605,2.3999544452403967,2.3999810211294115
SIM5,1.9200000000000004,0.7690812529087213,1.622541391050909,0.789416132236938,0.974233431008494,1.2191389735862952,1.387680228213253,1.5184934552133396,1.6278880366879507,1.6841981347593629,1.7369221641956543,1.7724562324653426,1.8112569162611427,1.8341306674089295,1.8598700797970913,1.888854783054837,1.9102470026914364,1.9267411337459517,1.9311109832414568,1.9452774677159261,1.9480187004094103,1.9580719110346325,1.9616277852343342,1.975837068701443,1.9819339651296008,1.9862514531950837,1.9897136464249778,1.9950690411368972,2.002223731632516,2.0035972533279085,2.010323989948898,2.0119100967696455,2.023562937414204,2.0246446054315395,2.0263600936219337,2.034016067813137,2.0394717940273392,2.0416673752396557,2.0427418670814146,2.043203782231311,2.0457042226367905,2.0565084848708524,2.056925547312554,2.0574267227666807,2.058245586291269,2.0589628042599646,2.0600808491877207,2.0608047863981263,2.062165482639883,2.0675236590278914,2.0719247800479796,2.074504612087164,2.0762443936734654
SIM6,1.9200000000000004,0.6395994861192621,1.4018592915797539,0.6553444481355812,0.8206517303237213,1.0488549527617452,1.212771462268028,1.3154001578737446,1.3787455559704334,1.4402672864953876,1.4938073314651699,1.5235228173410704,1.5552168357422813,1.5745213669048066,1.5879709417433654,1.6081625721328987,1.6230303797156922,1.6367327609000155,1.6427100989567804,1.6468605303333435,1.663983801700913,1.676894246443433,1.6839557910485623,1.6968327126598177,1.699322280273826,1.7030148028057426,1.7122779457813548,1.7155703953741244,1.7196928339647828,1.7246552841341087,1.7318566884995787,1.7350077440776093,1.7414514563147268,1.7475080381880042,1.7517489055083117,1.7528357077578707,1.7538623878377684,1.7544588978901705,1.7549174714732092,1.7592042326590862,1.7641253196492352,1.7661315271837879,1.7689494294384256,1.769914386308251,1.7708260821367094,1.7782504013062432,1.778587533453809,1.7790398210957865,1.7826470633471578,1.7844906879948101,1.7858127958676058,1.7868863107227708,1.7888935033861255
SIM7,1.9200000000000004,0.7122916810549553,1.253918397972065,0.7358615164146277,0.887011133652972,1.0827888439275835,1.2318473135593426,1.341522251826395,1.4313431555587237,1.4993988216784484,1.5583855350392248,1.5872946614880745,1.620625742066446,1.6410440551022576,1.653062594085536,1.6676615420212242,1.6728858659815302,1.6950781635505192,1.7032051096563063,1.7153035396976042,1.7303647379461753,1.734374257886826,1.7569843203121205,1.7635481938649884,1.768083477482868,1.7749695067152689,1.7788517933285835,1.7907750563463254,1.7941477786132887,1.795874143704821,1.798122264129509,1.8063360226094753,1.8160462991947721,1.816217313916103,1.8215515129339566,1.8222717574155154,1.8228082340568263,1.8229179150143324,1.8250211130465057,1.8314424443392383,1.8326170504303407,1.8360765740340679,1.8398539761312207,1.8407104873428783,1.841215162164581,1.8469842820901123,1.8493793880172509,1.850455273094715,1.852129296990042,1.8536542339628304,1.8632368965718882,1.8651101809343744,1.8652463947452402
SIM8,1.9200000000000004,0.6517709278501773,1.3860582856739325,0.6689707759996211,0.8217112621669113,1.0199394338022356,1.1695354512209226,1.2804801370904475,1.368421115444995,1.4175621213301741,1.4895261711398164,1.5130544365259924,1.5484061295308513,1.561319361138652,1.5918553565130307,1.6080614794941341,1.6260134112400848,1.6357375403893994,1.6456842027226628,1.6573635373901667,1.6608282404068768,1.6684822472674126,1.677208687059134,1.6783322890176664,1.6822467418686793,1.6863108360466739,1.691816916347187,1.6956038638318993,1.7018985660524584,1.7277444797475006,1.7362940283862973,1.7411008654450704,1.7445308305218459,1.7447780484430762,1.746855181510175,1.7562807594516594,1.7593467765434512,1.7623609796304343,1.7689906052398914,1.769545917949549,1.7708001780695988,1.7720088537611565,1.7742348076721217,1.7758006751261708,1.7765918206217393,1.781155633125335,1.782530883852093,1.785018623965715,1.7862135331011477,1.7885956325603178,1.7903907819395755,1.791614886645613,1.7920514511326877
