,vc,bridge,knn,vip_col1,vip_col2,vip_col3,vip_col4,vip_col5,vip_col6,vip_col7,vip_col8,vip_col9,vip_col10,vip_col11,vip_col12,vip_col13,vip_col14,vip_col15,vip_col16,vip_col17,vip_col18,vip_col19,vip_col20,vip_col21,vip_col22,vip_col23,vip_col24,vip_col25,vip_col26,vip_col27,vip_col28,vip_col29,vip_col30,vip_col31,vip_col32,vip_col33,vip_col34,vip_col35,vip_col36,vip_col37,vip_col38,vip_col39,vip_col40,vip_col41,vip_col42,vip_col43,vip_col44,vip_col45,vip_col46,vip_col47,vip_col48,vip_col49,vip_col50
eta,0.0,0.0,0.0,0.0,2.0408163265306123,4.081632653061225,6.122448979591837,8.16326530612245,10.204081632653061,12.244897959183675,14.285714285714286,16.3265306122449,18.367346938775512,20.408163265306122,22.448979591836736,24.48979591836735,26.53061224489796,28.571428571428573,30.612244897959183,32.6530612244898,34.69387755102041,36.734693877551024,38.775510204081634,40.816326530612244,42.85714285714286,44.89795918367347,46.93877551020408,48.9795918367347,51.02040816326531,53.06122448979592,55.10204081632653,57.142857142857146,59.183673469387756,61.224489795918366,63.26530612244898,65.3061224489796,67.34693877551021,69.38775510204081,71.42857142857143,73.46938775510205,75.51020408163265,77.55102040816327,79.59183673469389,81.63265306122449,83.6734693877551,85.71428571428572,87.75510204081633,89.79591836734694,91.83673469387756,93.87755102040816,95.91836734693878,97.9591836734694,100.0
SIM0,4.840000000000001,4.561249195502211,4.045854155780619,0.611718583726897,1.6522860073015193,2.6312875938387585,3.1833629401895562,3.511385692496108,3.7239361130160766,3.8663128230922092,3.9771410084029206,4.066606790094012,4.118223109573601,4.159412254322567,4.2198586002153124,4.249902806428269,4.28927493646102,4.323793816908059,4.338679841392883,4.362810220718493,4.3804976539501554,4.395231677028436,4.404118512096165,4.421211315002374,4.431578585703243,4.439688101519428,4.450706384718706,4.458479056263363,4.467869692409696,4.471166447059428,4.479015562507735,4.484358645154571,4.496332406212118,4.498771612793853,4.503748053056358,4.508460110733669,4.5164837830688365,4.520661850983368,4.524386140221257,4.532567803609324,4.537522071389181,4.538254466305081,4.54714148749959,4.551727328005117,4.55208467454867,4.552456913312731,4.562194975577037,4.562853613859517,4.568154717016579,4.570819387954493,4.571223953485337,4.576207228163591,4.577526560881785
SIM1,4.840000000000001,5.013173658959599,4.589710491080159,0.5346595746463136,1.6884208891498065,2.87212152587638,3.4696303741996886,3.834406552422395,4.059113526834142,4.226064711412702,4.34805569380156,4.416293882492512,4.500377911789061,4.564381341251869,4.62708321631512,4.654972499243154,4.677361492449857,4.710563658861377,4.747829573829775,4.7594570817483834,4.781738832349457,4.794217055763022,4.821354205000199,4.83996689377916,4.845333708543343,4.86246385238383,4.867018938513255,4.875675877354967,4.895238141338782,4.899866167307094,4.911152355873822,4.914502384133039,4.925403450129599,4.926651859718817,4.934515954599754,4.936680755047789,4.942317915673291,4.953347592982467,4.954657826428597,4.9618737495150285,4.970580446118336,4.972359410888934,4.9759110032424365,4.984195756758202,4.985283072877219,4.987559558386978,4.991669953358497,5.001148958782631,5.001591316989038,5.0060629638220595,5.006152419874693,5.010151875752968,5.012072480661093
SIM2,4.840000000000001,5.051115015196524,4.570079782498231,0.5256427077883804,1.6868475356970738,2.8438954733813935,3.4550218703721023,3.8085911649493767,4.029679779660817,4.180976734843427,4.305633324509287,4.392559457364053,4.462505783550109,4.524292913387636,4.574450849754255,4.606326023775214,4.649795297994414,4.674178304352885,4.702322845440494,4.726575108239627,4.751026981249711,4.768681844978383,4.7884662216042395,4.805192729744885,4.814245778246022,4.822981728403345,4.841648569044935,4.8460259835597235,4.848228598004446,4.859444764520457,4.873571054203786,4.880223625834508,4.8872993971377054,4.895882860026334,4.902087901171192,4.906528900419789,4.911689106665384,4.91369178808965,4.919045850441885,4.924716480051184,4.930205104516686,4.931867823318897,4.932180965400069,4.938870726395314,4.941139726858171,4.944960419623062,4.9470893299219325,4.951331888763088,4.951667324611133,4.955376347184049,4.959601881834258,4.967243036845063,4.967401267940065
SIM3,4.840000000000001,4.386463514246431,4.025177670911666,0.5342530807536878,1.6022209624478323,2.588049114829563,3.1476406558365766,3.4430987751468543,3.654905124501787,3.7908771790136706,3.885586837219308,3.9541572268625056,4.025885214600827,4.07039413887073,4.11352192280974,4.148035066073819,4.181419049989327,4.200649319915252,4.2139196379413475,4.240910020684565,4.255835620880837,4.271840331154043,4.290178073012779,4.293867405747152,4.307278042394949,4.320731443011897,4.325704420851118,4.333591598641011,4.3450157716632605,4.348820796230653,4.3583327168004615,4.36426581281539,4.3707985601060235,4.378899614792445,4.386659266148331,4.388817987857449,4.392485224355377,4.393682973924614,4.400937830140861,4.410194622404579,4.413229110152374,4.416302781809547,4.418481334635309,4.4232423747097815,4.424502935368478,4.425142942330829,4.427849491327941,4.4288442638689665,4.434738166851678,4.4374113345132145,4.440016840099563,4.441321687807475,4.441521153037293
SIM4,4.840000000000001,5.076927627048272,4.660168373846172,0.5429299101589478,1.7830227948917758,2.9491209349626493,3.5882841445910016,3.9118207088427273,4.158512931387014,4.294288063764633,4.40668467874212,4.501343016220279,4.558460127414094,4.621208223853179,4.668768121662854,4.706877006762057,4.7327464219966355,4.759665652183683,4.782449237568736,4.807453039301555,4.827661963899022,4.837959040979664,4.853814618494055,4.865938597152418,4.8890487990736915,4.892976314876405,4.900789694689351,4.916046387131389,4.922609491792247,4.92990130892995,4.94594723590835,4.95141906027187,4.954624911145531,4.965221901154956,4.976185838921983,4.9873494009398405,4.988229438738812,4.996973426742364,4.997798125580024,4.999002050628225,5.003618519015957,5.00928492401354,5.014115245668706,5.015170133498566,5.025402421765049,5.025539647120673,5.0261459725444215,5.028467948178038,5.030981964950622,5.032407832082708,5.038613348951892,5.040819824328816,5.047779428675076
SIM5,4.840000000000001,5.153366201462436,4.753162119179077,0.5844923336680081,1.8213344459511998,3.04904444809117,3.6891723044365583,4.037043557411315,4.247203532457507,4.402458463729239,4.533221824424968,4.613809977048652,4.686449064984654,4.7489678401184525,4.78089880894291,4.81057137400977,4.852574157658257,4.884067630698351,4.9038471443052725,4.9185475595517,4.942632776425617,4.961848316875816,4.976073109141827,4.9858654966513525,5.001667340131772,5.012613516119567,5.025402283788598,5.030222134088158,5.044840380336409,5.0551551287259056,5.064728788402391,5.071131032058904,5.072285764243969,5.074784334307224,5.091962238789126,5.094576820762565,5.096910304491215,5.104156714805499,5.10510247972687,5.110320136244225,5.116057122128453,5.118564219397817,5.123825969006954,5.125924219358339,5.1308013002392086,5.135703892445804,5.139166246601377,5.147982304122706,5.1485754391776855,5.151138276836732,5.153784748889219,5.154276246741625,5.156141946564026
SIM6,4.840000000000001,4.9647928266148424,4.549965478085385,0.5167720131476752,1.6692369120588892,2.768775962461601,3.3563184327393665,3.7177770030930115,3.9232194296139173,4.076793657213016,4.185572999388455,4.260774313960491,4.342242567784641,4.388456078691748,4.436535906984213,4.4768086071696365,4.516517722583821,4.538593945932099,4.568116496962876,4.585512594797208,4.60333860615336,4.617451971733796,4.632477006690115,4.641534369104958,4.660704786954117,4.671913454941752,4.68414211887214,4.691011781862828,4.698691353536999,4.710312185268285,4.713682651587812,4.7215728415648925,4.723561487395162,4.731241476605767,4.73369450391426,4.739051249482482,4.750993957125417,4.75994683199254,4.766356907706083,4.768376529760129,4.77144528598506,4.778465735155935,4.781676842669109,4.783100504345303,4.783704323490141,4.78873508189669,4.789505023522145,4.795275053885378,4.79587437913044,4.797985319980023,4.798959042699177,4.8081715015931605,4.8102138906383685
SIM7,4.840000000000001,4.759966910521758,4.26484915885543,0.4840832425716994,1.6771682497294154,2.7542159313834804,3.3429362532607296,3.6767112088657488,3.8985365685675575,4.042921765649194,4.146570890295463,4.230263049028892,4.309927056133761,4.345267159522894,4.394253307194386,4.425632916670648,4.44030776902541,4.4680386826254015,4.499157126020446,4.518721029499668,4.5371615466617365,4.549238344961462,4.572072870536724,4.582484310908508,4.596116828310924,4.603896137234779,4.609558368924709,4.632050323745496,4.641333761721286,4.655450573515404,4.659150497229514,4.663423100965137,4.671131899260248,4.680958073471015,4.685474256172213,4.688508241566133,4.6909013219166535,4.702252221458538,4.7087077391226995,4.711280852818941,4.715985819233074,4.717576739481926,4.720219901116639,4.724102646389155,4.725553926018813,4.7264363168396315,4.732223342493559,4.7390100237343145,4.739129390856417,4.740398351133608,4.743178442338859,4.746790468938299,4.7471337145965755
SIM8,4.840000000000001,4.959647172329547,4.562939662155673,0.550309268825219,1.6793777297248127,2.768569618522734,3.3858799472256305,3.7635687118339782,3.9888262664040477,4.150430355760837,4.26059949343199,4.366958072596884,4.427211992156017,4.47456335225146,4.5401878371330575,4.573356956224841,4.6113924942409135,4.635637361295531,4.665261078068103,4.682003657067442,4.710437228148394,4.72500996427572,4.734489687618887,4.747031448048926,4.753246998822653,4.770021981309905,4.780472017014211,4.787329041744063,4.804606455075183,4.811628326448801,4.824791116872335,4.83033675362563,4.836095956613028,4.845375173133117,4.850148527964536,4.851232457647815,4.853418168174159,4.859486210726369,4.8638502333888045,4.865850275200242,4.872568581620279,4.8782464760779085,4.88813452007364,4.894817385002948,4.895304725897641,4.905530828366571,4.909554891473104,4.91354546995089,4.914332114339324,4.917369488620049,4.919770022572484,4.920232717244737,4.923675880314128
